"x"
"Iris pseudacorus L."
"Iris pallida Lam."
"Iris foetidissima L."
"Iris florentina L."
"Epilobium ciliatum Raf."
"Thalictrum aquilegiifolium"
"Echium plantagineum L."
"Wisteria sinensis (Sims) DC."
"Verbascum chaixii Vill. subsp. c"
"Phyla nodiflora (L.) Greene"
"Mespilus germanica L."
"Eruca vesicaria (L.) Cav."
"Eleusine indica (L.) Gaertn."
"Buddleja davidii Franch."
"Amaranthus blitoides S.Watson"
"Allium oleraceum L. subsp. olera"
"Anemone coronaria"
"Anemone coronaria L."
"Carex digitata L."
"Cistus salvifolius L."
"Rorippa prostrata (J.P.Bergeret)"
"Gamochaeta americana (Mill.) Wed"
"Stachys arvensis (L.) L."
"Sinapis alba L. subsp. alba"
"Rorippa sylvestris (L.) Besser"
"Rorippa austriaca (Crantz) Besse"
"Reynoutria sachalinensis (Friedr"
"Potentilla recta L. subsp. recta"
"Papaver setigerum DC."
"Parentucellia latifolia (L.) Car"
"Malva parviflora L."
"Lysimachia foemina (Mill.) U.Man"
"Leucanthemum ×superbum (Bergmans"
"Bidens aurea (Aiton) Sherff"
"Centaurea cyanus L."
"Legousia speculum-veneris (L.) C"
"Serapias vomeracea (Burm.f.) Bri"
"Orlaya grandiflora (L.) Hoffm."
"Neotinea tridentata (Scop.) R.M."
"Anemonoides nemorosa (L.) Holub"
"Scilla bifolia L."
"Erythronium dens-canis L."
"Serapias parviflora Parl."
"Bellardia trixago (L.) All."
"Cephalanthera longifolia (L.) Fr"
"Allium carinatum L. subsp. pulch"
"Orchis papilionacea L."
"Orchis provincialis Balb. ex Lam"
"Orchis purpurea Huds."
"Cyclamen repandum Sm."
"Neotinea maculata (Desf.) Stearn"
"Tulipa sylvestris L."
"Stellaria media (L.) Vill."
"Chenopodium album L."
"Acer opulifolium Chaix"
"Plantago lanceolata L."
"Lotus corniculatus L."
"Polygonum aviculare L."
"Picris hieracioides L."
"Euphorbia cyparissias L."
"Taraxacum officinale Weber in Wi"
"Silene vulgaris (Moench) Garcke"
"Galium album Mill."
"Urtica dioica L."
"Agrostis stolonifera L."
"Arctium lappa L."
"Polygonum lapathifolium L."
"Tussilago farfara L."
"Ostrya carpinifolia Scop."
"Brachypodium sylvaticum (Huds.)"
"Saponaria officinalis L."
"Clematis vitalba L."
"Trifolium medium L."
"Stachys sylvatica L."
"Agropyron caninum (L.) Beauv."
"Lathyrus sylvestris L."
"Geranium robertianum L."
"Impatiens parviflora DC."
"Pastinaca sativa L."
"Festuca arundinacea Schreb."
"Rubus idaeus L."
"Cirsium arvense (L.) Scop."
"Fraxinus ornus L."
"Alnus cordata (Loisel.) Duby"
"Scrophularia canina L."
"Chaerophyllum temulum L."
"Melilotus alba Medicus"
"Robinia pseudacacia L."
"Salix purpurea L. s.l."
"Salix eleagnos Scop. s.l."
"Mentha spicata L."
"Ranunculus repens L."
"Dactylis glomerata L."
"Barbarea vulgaris W.T.Aiton"
"Equisetum arvense L."
"Silene alba (Miller) Krause"
"Artemisia verlotorum Lamotte"
"Petasites hybridus (L.) G.Gaertn"
"Solanum dulcamara L."
"Scrophularia auriculata L."
"Cytisus scoparius (L.) Link"
"Centaurea gr. jacea"
"Epilobium hirsutum L."
"Salix elaeagnos Scop."
"Rumex conglomeratus Murray"
"Galium aparine L."
"Aegopodium podagraria L."
"Heracleum sphondylium L. s.l."
"Alliaria petiolata (M.Bieb.) Cav"
"Ranunculus lanuginosus L."
"Rubus caesius L."
"Valeriana officinalis L."
"Cardamine bulbifera (L.) Crantz"
"Melica uniflora Retz."
"Mycelis muralis (L.) Dumort."
"Cornus sanguinea L. s.l."
"Calystegia sepium (L.) R.Br."
"Alnus incana (L.) Moench"
"Salix alba L."
"Hedera helix L. s.l."
"Scrophularia nodosa L."
"Ailanthus altissima (Mill.) Swin"
"Alnus glutinosa (L.) Gaertn."
"Robinia pseudoacacia L."
"Viola mirabilis L."
"Crataegus monogyna Jacq."
"Veronica urticifolia Jacq."
"Chelidonium majus L."
"Poa trivialis L."
"Salvia glutinosa L."
"Geum urbanum L."
"Corylus avellana L."
"Moehringia trinervia (L.) Clairv"
"Primula vulgaris Huds."
"Cardamine pratensis L."
"Acer pseudoplatanus L."
"Anthriscus sylvestris (L.) Hoffm"
"Geranium nodosum L."
"Populus nigra L."
"Circaea lutetiana L."
"Sambucus nigra L."
"Parietaria officinalis L."
"Symphytum tuberosum L."
"Rubus ulmifolius Schott"
"Holcus lanatus L."
"Galeopsis ladanum L."
"Hypericum perforatum L."
"Viola reichenbachiana Jord. ex B"
"Eupatorium cannabinum L."
"Campanula trachelium L."
"Rubus hirtus Waldst. & Kit."
"Peucedanum verticillare (L.) Mer"
"Viburnum opulus L."
"Rosa canina L. sensu Bouleng."
"Philadelphus coronarius L."
"Sonchus arvensis L."
"Tanacetum corymbosum (L.) Sch.Bi"
"Misopates orontium (L.) Raf."
"Clinopodium vulgare L. s.l."
"Verbena officinalis L."
