"Plot_ID","Longitude_WGS84","Latitude_WGS84","NDVI","Ignorance","Elevation_m","Notes"
"PLOT_001",10.327217,43.791164,0.167,103.3,-2,""
"PLOT_002",10.331019,43.812292,0.44,101.2,-3,""
"PLOT_003",10.290409,43.674554,0.256,90.06,0,""
"PLOT_004",10.33089,43.807637,0.365,101.71,-3,""
"PLOT_005",10.33142,43.667067,0.38,99.75,15,""
"PLOT_006",10.368262,43.805975,0.162,103.58,-1,""
"PLOT_007",10.307142,43.711203,0.466,71.52,8,""
"PLOT_008",10.295321,43.704342,0.416,75.3,6,""
"PLOT_009",10.335357,43.64133,0.337,103.59,7,""
"PLOT_010",10.358406,43.70106,0.365,89.3,3,""
"PLOT_011",10.354575,43.630871,0.251,73.76,4,""
"PLOT_012",10.315277,43.677336,0.338,101.12,2,""
"PLOT_013",10.327925,43.67975,-0.081,99.33,0,""
"PLOT_014",10.34995,43.800362,0.425,103.33,-1,""
"PLOT_015",10.292733,43.865329,0.077,92.68,0,""
"PLOT_016",10.358085,43.819562,0.267,98.67,-3,""
"PLOT_017",10.348664,43.633804,0.333,78.86,13,""
"PLOT_018",10.354333,43.673293,0.437,98.27,6,""
"PLOT_019",10.339631,43.852171,0.394,80.92,-3,""
"PLOT_020",10.322945,43.650595,0.448,104.07,12,""
"PLOT_021",10.282296,43.679566,0.157,84.48,1,""
"PLOT_022",10.356563,43.687773,0.285,98.79,2,""
"PLOT_023",10.310383,43.590659,0.263,94.07,-1,""
"PLOT_024",10.264632,43.80632,0.276,98.33,3,""
"PLOT_025",10.347459,43.711259,0.511,22.96,9,""
"PLOT_026",10.347084,43.830821,-0.098,95.91,-1,""
"PLOT_027",10.279608,43.75197,0.213,89.21,9,""
"PLOT_028",10.279384,43.815303,0.366,95.3,9,""
"PLOT_029",10.346828,43.66832,0.269,98.59,2,""
"PLOT_030",10.366601,43.74059,0.188,80.06,0,""
"PLOT_031",10.308546,43.866221,0.416,89.78,-1,""
"PLOT_032",10.322179,43.747114,0.059,71.05,1,""
"PLOT_033",10.339516,43.840133,-0.101,89.4,-1,""
"PLOT_034",10.396615,43.620403,0.179,101.87,-1,""
"PLOT_035",10.345847,43.622156,0.517,55.45,13,""
"PLOT_036",10.28111,43.699816,0.247,88.8,1,""
"PLOT_037",10.312754,43.640789,0.394,103.51,10,""
"PLOT_038",10.305414,43.85748,0.234,90.15,-1,""
"PLOT_039",10.317927,43.688838,0.395,101.37,10,""
"PLOT_040",10.340337,43.660369,0.45,99.35,18,""
"PLOT_041",10.326002,43.776234,0.299,101.88,1,""
"PLOT_042",10.336278,43.837171,-0.107,92.04,-1,""
"PLOT_043",10.265338,43.843484,0.248,85.86,6,""
"PLOT_044",10.285491,43.854192,0.368,86.28,2,""
"PLOT_045",10.324627,43.762933,0.28,96.7,1,""
"PLOT_046",10.347858,43.728788,0.313,60.39,-1,""
"PLOT_047",10.340513,43.636278,0.435,91.95,13,""
"PLOT_048",10.348515,43.755399,0.233,69.97,2,""
"PLOT_049",10.306669,43.800759,0.327,102.15,16,""
"PLOT_050",10.33001,43.725234,0.295,48.72,9,""
