"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Alnus glutinosa (L.) Gaertn.",100,2000,91.3,56.4
"Populus canescens (Aiton) Sm.",97.8,400,90.8,9.1
"Fraxinus angustifolia Vahl subsp. oxycarpa (Willd.) Franco & Rocha Afonso",100,2000,91.5,65.5
"Quercus robur L. subsp. robur",100,2000,91.5,70.9
"Quercus ilex L. subsp. ilex",100,2000,91.5,58.8
"Crataegus monogyna Jacq.",100,2000,91.3,55.7
"Malus sylvestris (L.) Mill.",97.5,800,72.9,8.4
"Rubia peregrina L.",100,2000,90.2,9.1
"Smilax aspera L.",100,2000,90.2,9.1
"Fraxinus ornus L. subsp. ornus",100,2000,290.9,9.1
"Hedera helix L. subsp. helix",100,2000,91.5,9.1
"Rubus ulmifolius Schott",100,2000,91.5,47.3
"Euonymus europaeus L.",100,2000,91.5,9.1
"Ulmus minor Mill. subsp. minor",100,2000,91.5,70.5
"Lonicera caprifolium L.",100,2000,84.7,9.1
"Cyclamen repandum Sm. subsp. repandum",100,2000,91.5,6.8
"Acer campestre L.",100,2000,91.5,7.3
"Cornus mas L.",99.8,1900,73.6,7
"Ruscus aculeatus L.",100,2000,91.5,9.1
"Populus alba L.",100,2000,91.3,7.3
"Ligustrum vulgare L.",100,2000,90.2,9.1
"Vitis vinifera L.",100,1400,91.3,7.3
"Periploca graeca L.",100,2000,91.1,20.2
"Carex distans L.",100,1100,85.7,8.3
"Clematis vitalba L.",100,1600,91.5,9.1
"Veronica chamaedrys L. subsp. chamaedrys",76.9,200,74.9,8.1
"Solanum dulcamara L.",100,1200,90.9,7.3
"Hydrocotyle vulgaris L.",100,1700,87.4,7.3
"Thelypteris palustris Schott",100,2000,214.7,0.3
"Mentha aquatica L. subsp. aquatica",100,2000,91.3,9.1
"Carex remota L.",100,2000,91.5,9.1
"Juncus effusus L. subsp. effusus",100,2000,91.3,9.1
"Galium palustre L. subsp. palustre",100,2000,91.3,9.1
"Potentilla reptans L.",100,2000,98.9,9.1
"Agrostis stolonifera L. subsp. stolonifera",100,2000,91.3,9.1
"Urtica dioica L. subsp. dioica",100,2000,91.5,7.3
"Carex sylvatica Huds. subsp. sylvatica",100,2000,91.5,9.1
"Samolus valerandi L.",100,1600,91.3,0.3
"Lycopus europaeus L.",100,1300,91.3,8.6
"Carex elata All. subsp. elata",100,1300,91.3,9.1
"Hypericum androsaemum L.",100,1300,91.3,7.3
"Gratiola officinalis L.",100,1100,88.3,2.2
"Alisma plantago-aquatica L.",100,1200,85.7,2.2
"Ranunculus ophioglossifolius Vill.",52.7,100,52.7,52.7
"Prunella vulgaris L. subsp. vulgaris",99.8,1300,85.7,2.2
"Carex punctata Gaudin",100,800,85.7,9.1
"Robinia pseudoacacia L.",100,700,91.1,2.5
"Carex pendula Huds.",100,1800,91.5,7.3
"Myosotis scorpioides L. subsp. scorpioides",99.9,700,85.7,2.2
"Rumex sanguineus L.",99.8,2000,91.5,9.1
"Moehringia trinervia (L.) Clairv.",100,1600,91.5,7.3
"Ranunculus repens L.",100,2000,91.3,9.1
"Holcus lanatus L. subsp. lanatus",99.8,1900,85.7,2.2
"Lychnis flos-cuculi L. subsp. flos-cuculi",100,1900,85.7,2.2
"Lysimachia vulgaris L.",100,1400,91.3,9.1
"Carex riparia Curtis",100,800,91.3,9.1
"Hottonia palustris L.",99.9,500,88.9,23.2
"Juncus conglomeratus L.",99.6,400,85.7,47.3
"Asparagus acutifolius L.",100,2000,85.7,8.4
"Chamaeiris foetidissima (L.) Medik.",100,2000,91.5,9.1
"Veronica montana L.",100,800,91.5,8.6
"Pteridium aquilinum (L.) Kuhn subsp. aquilinum",100,2000,91.5,8.6
"Carpinus betulus L.",100,2000,91.5,9.1
"Scrophularia nodosa L.",99.9,900,91.5,8.6
"Circaea lutetiana L. subsp. lutetiana",100,800,91.5,9.1
"Melissa officinalis L. subsp. officinalis",93.1,400,91.5,2.2
"Brachypodium sylvaticum (Huds.) P.Beauv. subsp. sylvaticum",100,2000,91.5,8.3
"Viola reichenbachiana Jord. ex Boreau",100,2000,91.5,9.1
"Poa trivialis L.",100,2000,91.5,8.6
