"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Acer campestre L.",100,10,98.5,91.1
"Achillea maritima (L.hrend. & Y.P.Guo subsp. maritima",100,10,96.5,32.1
"Adonis annua L.",100,6,99.6,70
"Aeluropus littoralis (Gouan Parl. subsp. littoralis",100,10,97.1,46.5
"Agrimonia eupatoria L. subsp. eupatoria",100,9,98.5,30
"Agrostis canina L. subsp. canina",100,5,97.4,31.9
"Agrostis stolonifera L. subsp. stolonifera",100,10,98.7,97.6
"Ailanthus altissima (Mill. Swingle",100,10,99.3,44.4
"Aira caryophyllea L. subsp. caryophyllea",100,10,97.8,95.8
"Ajuga reptans L.",100,10,96.7,80.9
"Alisma plantago-aquatica L.",100,10,98.7,39.1
"Alliaria petiolata (M.Bieb. Cavara & Grande",100,5,98.4,22.2
"Alnus glutinosa (L. Gaertn.",100,10,98.2,95.8
"Alopecurus myosuroides Huds. subsp. myosuroides",100,10,96.7,35.3
"Althaea cannabina L.",100,4,98.7,54
"Althaea officinalis L.",100,10,98.9,29
"Amorpha fruticosa L.",100,10,98.7,66.6
"Anacamptis palustris (Jacq. R.M.Bateman, Pridgeon & M.W.Chase",100,10,74.7,40.3
"Anacyclus radiatus Loisel. subsp. radiatus",100,6,98.7,30
"Anchusa undulata L. subsp. hybrida (Ten. Bég.",100,2,99.3,99.3
"Andryala integrifolia L.",100,6,98.7,29.3
"Anethum foeniculum L.",100,10,70.9,33.4
"Anisantha diandra (Roth Tutin ex Tzvelev",100,10,98.5,48.3
"Anisantha madritensis (L.evski subsp. madritensis",100,10,98.5,54.5
"Anisantha sterilis (L.evski",100,8,98.7,39.9
"Anthemis cotula L.",100,3,98.7,85.7
"Anthoxanthum odoratum L.",100,10,97.8,97.6
"Aphanes australis Rydb.",100,10,97.8,37.5
"Arbutus unedo L.",100,10,95.8,37
"Arctium minus (Hill Bernh.",100,6,98.7,39.9
"Arenaria leptoclados (Rchb. Guss. subsp. leptoclados",100,10,68.9,30
"Aristolochia clematitis L.",100,10,70.9,41.2
"Aristolochia rotunda L. subsp. rotunda",100,10,99.3,91.3
"Artemisia annua L.",100,4,98.5,31.2
"Artemisia caerulescens L. subsp. caerulescens",100,8,97,30.7
